Point,Corner,Iin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
249,C0,131.4e-9,9,-40,,,1.386e-9
249,C1,131.4e-9,9,150,,,1.327e-9
250,C0,131.4e-9,10,-40,,,1.439e-9
250,C1,131.4e-9,10,150,,,1.384e-9
251,C0,131.4e-9,11,-40,,,1.329e-9
251,C1,131.4e-9,11,150,,,1.269e-9
252,C0,131.4e-9,12,-40,,,1.448e-9
252,C1,131.4e-9,12,150,,,1.369e-9
253,C0,131.4e-9,13,-40,,,1.467e-9
253,C1,131.4e-9,13,150,,,1.369e-9
254,C0,131.4e-9,14,-40,,,1.47e-9
254,C1,131.4e-9,14,150,,,1.408e-9
255,C0,131.4e-9,15,-40,,,1.325e-9
255,C1,131.4e-9,15,150,,,1.251e-9
256,C0,131.4e-9,16,-40,,,1.458e-9
256,C1,131.4e-9,16,150,,,1.361e-9
257,C0,131.4e-9,17,-40,,,1.424e-9
257,C1,131.4e-9,17,150,,,1.369e-9
258,C0,131.4e-9,18,-40,,,1.378e-9
258,C1,131.4e-9,18,150,,,1.292e-9
259,C0,131.4e-9,19,-40,,,1.487e-9
259,C1,131.4e-9,19,150,,,1.418e-9
260,C0,131.4e-9,20,-40,,,1.37e-9
260,C1,131.4e-9,20,150,,,1.35e-9
261,C0,131.4e-9,21,-40,,,1.474e-9
261,C1,131.4e-9,21,150,,,1.405e-9
262,C0,131.4e-9,22,-40,,,1.265e-9
262,C1,131.4e-9,22,150,,,1.09e-9
263,C0,131.4e-9,23,-40,,,1.456e-9
263,C1,131.4e-9,23,150,,,1.397e-9
264,C0,131.4e-9,24,-40,,,1.391e-9
264,C1,131.4e-9,24,150,,,1.324e-9
265,C0,131.4e-9,25,-40,,,1.448e-9
265,C1,131.4e-9,25,150,,,1.381e-9
266,C0,131.4e-9,26,-40,,,1.366e-9
266,C1,131.4e-9,26,150,,,1.256e-9
267,C0,131.4e-9,27,-40,,,1.436e-9
267,C1,131.4e-9,27,150,,,1.39e-9
268,C0,131.4e-9,28,-40,,,1.53e-9
268,C1,131.4e-9,28,150,,,1.451e-9
269,C0,131.4e-9,29,-40,,,1.401e-9
269,C1,131.4e-9,29,150,,,1.354e-9
270,C0,131.4e-9,30,-40,,,1.323e-9
270,C1,131.4e-9,30,150,,,1.241e-9
271,C0,131.4e-9,31,-40,,,1.449e-9
271,C1,131.4e-9,31,150,,,1.378e-9
272,C0,131.4e-9,32,-40,,,1.444e-9
272,C1,131.4e-9,32,150,,,1.388e-9
273,C0,131.4e-9,33,-40,,,1.425e-9
